music query,noise type,noise intensity,result,NCD,expected
Post Malone - White Iverson_segment3_pink_intensity_0.05.freqs,segment3_pink,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.974627,false
Post Malone - White Iverson_segment7_white_intensity_0.45.freqs,segment7_white,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.977612,false
Post Malone - White Iverson_segment1_white_intensity_0.4.freqs,segment1_white,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.977612,false
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.2.freqs,segment9_white,0.2,untiljapan - PYRAMIDZ (Official Audio).freqs,0.975373,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_pink_intensity_0.05.freqs,segment10_pink,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.98209,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_pink_intensity_0.4.freqs,segment10_pink,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.978358,false
Post Malone - White Iverson_segment3_pink_intensity_0.4.freqs,segment3_pink,0.4,untiljapan - PYRAMIDZ (Official Audio).freqs,0.977612,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_brown_intensity_0.15.freqs,segment1_brown,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.975706,true
Avicii - Wake Me Up (Official Video)_segment5_brown_intensity_0.45.freqs,segment5_brown,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.981343,false
Post Malone - White Iverson_segment2_pink_intensity_0.15.freqs,segment2_pink,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.979851,false
Post Malone - White Iverson_segment6_brown_intensity_0.45.freqs,segment6_brown,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.981343,false
Avicii - Wake Me Up (Official Video)_segment2_brown_intensity_0.45.freqs,segment2_brown,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.98209,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_white_intensity_0.15.freqs,segment4_white,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.970896,false
Avicii - Wake Me Up (Official Video)_segment9_brown_intensity_0.35.freqs,segment9_brown,0.35,untiljapan - PYRAMIDZ (Official Audio).freqs,0.98209,false
Travis Scott - NO BYSTANDERS (Audio)_segment2_pink_intensity_0.1.freqs,segment2_pink,0.1,Travis Scott - NO BYSTANDERS (Audio).freqs,0.966287,true
Travis Scott - NO BYSTANDERS (Audio)_segment1_pink_intensity_0.1.freqs,segment1_pink,0.1,Travis Scott - NO BYSTANDERS (Audio).freqs,0.96703,true
Travis Scott - NO BYSTANDERS (Audio)_segment10_brown_intensity_0.5.freqs,segment10_brown,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.980597,false
Travis Scott - NO BYSTANDERS (Audio)_segment4_pink_intensity_0.15.freqs,segment4_pink,0.15,untiljapan - PYRAMIDZ (Official Audio).freqs,0.974627,false
Post Malone - White Iverson_segment9_pink_intensity_0.05.freqs,segment9_pink,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.980597,false
Avicii - Wake Me Up (Official Video)_segment9_white_intensity_0.05.freqs,segment9_white,0.05,untiljapan - PYRAMIDZ (Official Audio).freqs,0.978358,false
