music query,noise type,noise intensity,result,NCD,expected
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_white_intensity_0.05.freqs,segment10_white,0.05,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.999545,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_pink_intensity_0.5.freqs,segment6_pink,0.5,untiljapan - PYRAMIDZ (Official Audio).freqs,0.990822,false
Post Malone - White Iverson_segment3_white_intensity_0.4.freqs,segment3_white,0.4,Post Malone - White Iverson.freqs,0.993648,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment7_white_intensity_0.4.freqs,segment7_white,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.996335,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_brown_intensity_0.15.freqs,segment2_brown,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.995303,false
Post Malone - White Iverson_segment6_white_intensity_0.15.freqs,segment6_white,0.15,Post Malone - White Iverson.freqs,0.998406,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.3.freqs,segment6_white,0.3,untiljapan - PYRAMIDZ (Official Audio).freqs,0.993371,false
Travis Scott - NO BYSTANDERS (Audio)_segment6_brown_intensity_0.15.freqs,segment6_brown,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.990997,true
Avicii - Wake Me Up (Official Video)_segment3_pink_intensity_0.2.freqs,segment3_pink,0.2,untiljapan - PYRAMIDZ (Official Audio).freqs,0.996048,false
Post Malone - White Iverson_segment8_pink_intensity_0.15.freqs,segment8_pink,0.15,Post Malone - White Iverson.freqs,0.996297,true
Avicii - Wake Me Up (Official Video)_segment3_brown_intensity_0.35.freqs,segment3_brown,0.35,untiljapan - PYRAMIDZ (Official Audio).freqs,0.997578,false
Post Malone - White Iverson_segment7_pink_intensity_0.35.freqs,segment7_pink,0.35,Djo - End Of Beginning.freqs,0.997673,false
Avicii - Wake Me Up (Official Video)_segment2_white_intensity_0.35.freqs,segment2_white,0.35,Avicii - Wake Me Up (Official Video).freqs,0.998845,true
Avicii - Wake Me Up (Official Video)_segment2_white_intensity_0.05.freqs,segment2_white,0.05,Avicii - Wake Me Up (Official Video).freqs,0.99533,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.35.freqs,segment6_white,0.35,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.995085,true
Avicii - Wake Me Up (Official Video)_segment9_brown_intensity_0.05.freqs,segment9_brown,0.05,Travis Scott - NO BYSTANDERS (Audio).freqs,0.998328,false
Avicii - Wake Me Up (Official Video)_segment5_pink_intensity_0.3.freqs,segment5_pink,0.3,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.998878,false
Travis Scott - NO BYSTANDERS (Audio)_segment3_white_intensity_0.35.freqs,segment3_white,0.35,Travis Scott - NO BYSTANDERS (Audio).freqs,0.987866,true
Travis Scott - NO BYSTANDERS (Audio)_segment8_brown_intensity_0.3.freqs,segment8_brown,0.3,untiljapan - PYRAMIDZ (Official Audio).freqs,0.993817,false
Travis Scott - NO BYSTANDERS (Audio)_segment6_pink_intensity_0.3.freqs,segment6_pink,0.3,Travis Scott - NO BYSTANDERS (Audio).freqs,0.99146,true
Avicii - Wake Me Up (Official Video)_segment7_white_intensity_0.3.freqs,segment7_white,0.3,Avicii - Wake Me Up (Official Video).freqs,0.997761,true
Avicii - Wake Me Up (Official Video)_segment6_white_intensity_0.4.freqs,segment6_white,0.4,Metro Boomin Don Toliver  Future - Too Many Nights (Official Video).freqs,0.99864,false
Post Malone - White Iverson_segment4_pink_intensity_0.3.freqs,segment4_pink,0.3,Travis Scott - NO BYSTANDERS (Audio).freqs,0.996192,false
Avicii - Wake Me Up (Official Video)_segment7_pink_intensity_0.05.freqs,segment7_pink,0.05,Avicii - Wake Me Up (Official Video).freqs,0.996967,true
Post Malone - White Iverson_segment1_pink_intensity_0.25.freqs,segment1_pink,0.25,Post Malone - White Iverson.freqs,0.994574,true
Travis Scott - NO BYSTANDERS (Audio)_segment1_brown_intensity_0.3.freqs,segment1_brown,0.3,Travis Scott - NO BYSTANDERS (Audio).freqs,0.990784,true
Post Malone - White Iverson_segment1_pink_intensity_0.5.freqs,segment1_pink,0.5,Travis Scott - NO BYSTANDERS (Audio).freqs,0.996655,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_pink_intensity_0.25.freqs,segment4_pink,0.25,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.995207,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_pink_intensity_0.35.freqs,segment4_pink,0.35,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.994084,true
Avicii - Wake Me Up (Official Video)_segment7_brown_intensity_0.35.freqs,segment7_brown,0.35,Kanye West - Hurricane.freqs,0.999146,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_brown_intensity_0.35.freqs,segment6_brown,0.35,Travis Scott - NO BYSTANDERS (Audio).freqs,0.995516,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_white_intensity_0.15.freqs,segment1_white,0.15,Travis Scott - NO BYSTANDERS (Audio).freqs,0.980998,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.45.freqs,segment5_brown,0.45,untiljapan - PYRAMIDZ (Official Audio).freqs,0.993499,false
