music query,noise type,noise intensity,result,NCD,expected
Travis Scott - NO BYSTANDERS (Audio)_segment7_white_intensity_0.5.freqs,segment7_white,0.5,Travis Scott - NO BYSTANDERS (Audio).freqs,0.988336,true
Avicii - Wake Me Up (Official Video)_segment2_pink_intensity_0.4.freqs,segment2_pink,0.4,4th Dimension.freqs,1.00125,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_pink_intensity_0.4.freqs,segment2_pink,0.4,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.993506,true
Post Malone - White Iverson_segment1_white_intensity_0.05.freqs,segment1_white,0.05,Post Malone - White Iverson.freqs,0.994768,true
Post Malone - White Iverson_segment3_pink_intensity_0.25.freqs,segment3_pink,0.25,Post Malone - White Iverson.freqs,0.990531,true
Avicii - Wake Me Up (Official Video)_segment2_pink_intensity_0.45.freqs,segment2_pink,0.45,4th Dimension.freqs,0.999813,false
Avicii - Wake Me Up (Official Video)_segment6_pink_intensity_0.45.freqs,segment6_pink,0.45,Avicii - Wake Me Up (Official Video).freqs,1.00048,true
Avicii - Wake Me Up (Official Video)_segment1_pink_intensity_0.1.freqs,segment1_pink,0.1,Avicii - Wake Me Up (Official Video).freqs,0.996821,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.25.freqs,segment6_white,0.25,The Weeknd Timeless with Playboi Carti (Official Music Video).freqs,0.989365,true
Post Malone - White Iverson_segment3_pink_intensity_0.5.freqs,segment3_pink,0.5,Post Malone - White Iverson.freqs,0.99311,true
Post Malone - White Iverson_segment8_pink_intensity_0.05.freqs,segment8_pink,0.05,Post Malone - White Iverson.freqs,0.991194,true
Travis Scott - NO BYSTANDERS (Audio)_segment2_pink_intensity_0.25.freqs,segment2_pink,0.25,Travis Scott - NO BYSTANDERS (Audio).freqs,0.982914,true
Post Malone - White Iverson_segment10_brown_intensity_0.45.freqs,segment10_brown,0.45,Sabrina Carpenter - Espresso (Official Video).freqs,1.00088,false
Travis Scott - NO BYSTANDERS (Audio)_segment6_pink_intensity_0.45.freqs,segment6_pink,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.99028,true
Post Malone - White Iverson_segment5_brown_intensity_0.1.freqs,segment5_brown,0.1,Post Malone - White Iverson.freqs,0.991305,true
