music query,noise type,noise intensity,result,NCD,expected
Post Malone - White Iverson_segment3_white_intensity_0.4.freqs,segment3_white,0.4,4th Dimension.freqs,0.859111,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment7_white_intensity_0.4.freqs,segment7_white,0.4,4th Dimension.freqs,0.841434,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment2_brown_intensity_0.15.freqs,segment2_brown,0.15,4th Dimension.freqs,0.855137,false
Post Malone - White Iverson_segment6_white_intensity_0.15.freqs,segment6_white,0.15,4th Dimension.freqs,0.894769,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.3.freqs,segment6_white,0.3,4th Dimension.freqs,0.851654,false
Travis Scott - NO BYSTANDERS (Audio)_segment6_brown_intensity_0.15.freqs,segment6_brown,0.15,4th Dimension.freqs,0.878265,false
Avicii - Wake Me Up (Official Video)_segment3_pink_intensity_0.2.freqs,segment3_pink,0.2,4th Dimension.freqs,0.963623,false
Post Malone - White Iverson_segment8_pink_intensity_0.15.freqs,segment8_pink,0.15,Imagine Dragons - Bones (Official Music Video).freqs,0.981278,false
Avicii - Wake Me Up (Official Video)_segment3_brown_intensity_0.35.freqs,segment3_brown,0.35,Kanye West - Hurricane.freqs,0.997204,false
Post Malone - White Iverson_segment7_pink_intensity_0.35.freqs,segment7_pink,0.35,4th Dimension.freqs,0.863843,false
Avicii - Wake Me Up (Official Video)_segment2_white_intensity_0.35.freqs,segment2_white,0.35,4th Dimension.freqs,0.850481,false
Avicii - Wake Me Up (Official Video)_segment2_white_intensity_0.05.freqs,segment2_white,0.05,Avicii - Wake Me Up (Official Video).freqs,0.995457,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_white_intensity_0.35.freqs,segment6_white,0.35,4th Dimension.freqs,0.851692,false
Avicii - Wake Me Up (Official Video)_segment9_brown_intensity_0.05.freqs,segment9_brown,0.05,Avicii - Wake Me Up (Official Video).freqs,0.999351,true
Avicii - Wake Me Up (Official Video)_segment5_pink_intensity_0.3.freqs,segment5_pink,0.3,Avicii - Wake Me Up (Official Video).freqs,0.995804,true
Travis Scott - NO BYSTANDERS (Audio)_segment3_white_intensity_0.35.freqs,segment3_white,0.35,4th Dimension.freqs,0.851086,false
Travis Scott - NO BYSTANDERS (Audio)_segment8_brown_intensity_0.3.freqs,segment8_brown,0.3,4th Dimension.freqs,0.921417,false
Travis Scott - NO BYSTANDERS (Audio)_segment6_pink_intensity_0.3.freqs,segment6_pink,0.3,4th Dimension.freqs,0.900787,false
Avicii - Wake Me Up (Official Video)_segment7_white_intensity_0.3.freqs,segment7_white,0.3,Coldplay - Viva La Vida (Official Video).freqs,0.943446,false
Avicii - Wake Me Up (Official Video)_segment6_white_intensity_0.4.freqs,segment6_white,0.4,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973815,false
Post Malone - White Iverson_segment4_pink_intensity_0.3.freqs,segment4_pink,0.3,4th Dimension.freqs,0.853585,false
Avicii - Wake Me Up (Official Video)_segment7_pink_intensity_0.05.freqs,segment7_pink,0.05,Imagine Dragons - Bones (Official Music Video).freqs,0.978745,false
Post Malone - White Iverson_segment1_pink_intensity_0.25.freqs,segment1_pink,0.25,Post Malone - White Iverson.freqs,0.994323,true
Travis Scott - NO BYSTANDERS (Audio)_segment1_brown_intensity_0.3.freqs,segment1_brown,0.3,4th Dimension.freqs,0.854682,false
Post Malone - White Iverson_segment1_pink_intensity_0.5.freqs,segment1_pink,0.5,Avicii - Wake Me Up (Official Video).freqs,0.993834,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_pink_intensity_0.25.freqs,segment4_pink,0.25,4th Dimension.freqs,0.845825,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment4_pink_intensity_0.35.freqs,segment4_pink,0.35,4th Dimension.freqs,0.871224,false
Avicii - Wake Me Up (Official Video)_segment7_brown_intensity_0.35.freqs,segment7_brown,0.35,4th Dimension.freqs,0.867855,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment6_brown_intensity_0.35.freqs,segment6_brown,0.35,4th Dimension.freqs,0.86672,false
Travis Scott - NO BYSTANDERS (Audio)_segment1_white_intensity_0.15.freqs,segment1_white,0.15,4th Dimension.freqs,0.89598,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_brown_intensity_0.45.freqs,segment5_brown,0.45,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973786,false
Travis Scott - NO BYSTANDERS (Audio)_segment3_brown_intensity_0.45.freqs,segment3_brown,0.45,4th Dimension.freqs,0.845143,false
Post Malone - White Iverson_segment8_white_intensity_0.45.freqs,segment8_white,0.45,4th Dimension.freqs,0.843327,false
Travis Scott - NO BYSTANDERS (Audio)_segment10_white_intensity_0.2.freqs,segment10_white,0.2,4th Dimension.freqs,0.893822,false
Avicii - Wake Me Up (Official Video)_segment3_white_intensity_0.25.freqs,segment3_white,0.25,4th Dimension.freqs,0.952267,false
Avicii - Wake Me Up (Official Video)_segment4_pink_intensity_0.15.freqs,segment4_pink,0.15,Avicii - Wake Me Up (Official Video).freqs,0.995573,true
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment5_white_intensity_0.45.freqs,segment5_white,0.45,Imagine Dragons - Bones (Official Music Video).freqs,0.977019,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment7_brown_intensity_0.05.freqs,segment7_brown,0.05,4th Dimension.freqs,0.871451,false
Travis Scott - NO BYSTANDERS (Audio)_segment7_brown_intensity_0.35.freqs,segment7_brown,0.35,4th Dimension.freqs,0.850405,false
Post Malone - White Iverson_segment7_white_intensity_0.5.freqs,segment7_white,0.5,4th Dimension.freqs,0.870202,false
Avicii - Wake Me Up (Official Video)_segment1_pink_intensity_0.3.freqs,segment1_pink,0.3,New_Slaves.freqs,0.994787,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_brown_intensity_0.05.freqs,segment10_brown,0.05,4th Dimension.freqs,0.923234,false
Avicii - Wake Me Up (Official Video)_segment5_brown_intensity_0.2.freqs,segment5_brown,0.2,4th Dimension.freqs,0.882277,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment3_white_intensity_0.4.freqs,segment3_white,0.4,4th Dimension.freqs,0.847945,false
Avicii - Wake Me Up (Official Video)_segment5_white_intensity_0.35.freqs,segment5_white,0.35,Avicii - Wake Me Up (Official Video).freqs,0.997844,true
Avicii - Wake Me Up (Official Video)_segment4_pink_intensity_0.05.freqs,segment4_pink,0.05,4th Dimension.freqs,0.936634,false
Avicii - Wake Me Up (Official Video)_segment8_pink_intensity_0.05.freqs,segment8_pink,0.05,Taylor Swift - Fortnight (feat. Post Malone) (Official Music Video).freqs,0.973984,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_pink_intensity_0.45.freqs,segment10_pink,0.45,Travis Scott - NO BYSTANDERS (Audio).freqs,0.990132,false
Travis Scott - NO BYSTANDERS (Audio)_segment5_brown_intensity_0.5.freqs,segment5_brown,0.5,4th Dimension.freqs,0.864486,false
Avicii - Wake Me Up (Official Video)_segment4_white_intensity_0.5.freqs,segment4_white,0.5,4th Dimension.freqs,0.978083,false
The Weeknd Timeless with Playboi Carti (Official Music Video)_segment10_pink_intensity_0.4.freqs,segment10_pink,0.4,Travis Scott - NO BYSTANDERS (Audio).freqs,0.99074,false
